GEOID,NAME.x,estimate_2010,pop_2010,NAME.y,estimate_2019,pop_2019,PLACEA,pop_1990,estimate_1990,dif_10_19,dif_90_19,change_perc_10_19,change_perc_90_19,share_2010,share_2019,share_1990,share_dif_10_19,share_dif_90_19
0604982,"Bellflower city, California",9669,75944,"Bellflower city, California",10289,77195,04982,61793,3874,620,6415,0.0641224532009515,1.6559112028910687,0.12731749710312862,0.13328583457477816,0.0626931853122522,0.005968337471649543,0.07059264926252597
0604996,"Bell Gardens city, California",368,42408,"Bell Gardens city, California",493,42421,04996,42355,223,125,270,0.33967391304347827,1.210762331838565,0.008677607998490851,0.011621602508191697,0.00526502183921615,0.002943994509700846,0.006356580668975547
0605108,"Belmont city, California",574,25281,"Belmont city, California",307,27097,05108,24195,384,-267,-77,-0.4651567944250871,-0.20052083333333334,0.02270479806969661,0.011329667490866148,0.015871047737135772,-0.011375130578830463,-0.004541380246269624
0605164,"Belvedere city, California",8,2116,"Belvedere city, California",0,2134,05164,2147,0,-8,0,-1,NA,0.003780718336483932,0,0,-0.003780718336483932,0
0605262,"Benbow CDP, California",0,569,"Benbow CDP, California",0,118,05262,161,0,0,0,NA,NA,0,0,0,0,0
0605276,"Bend CDP, California",0,575,"Bend CDP, California",0,498,05276,565,4,0,-4,NA,-1,0,0,0.007079646017699115,0,-0.007079646017699115
0605290,"Benicia city, California",1132,26959,"Benicia city, California",941,28192,05290,24437,1300,-191,-359,-0.1687279151943463,-0.27615384615384614,0.041989688044808786,0.033378263337116916,0.0531980193968163,-0.00861142470769187,-0.019819756059699385
0605332,"Ben Lomond CDP, California",13,6102,"Ben Lomond CDP, California",23,6890,05332,6597,53,10,-30,0.7692307692307693,-0.5660377358490566,0.0021304490331039002,0.0033381712626995644,0.008033954827952099,0.0012077222295956641,-0.004695783565252534
0605346,"Benton CDP, California",0,289,"Benton CDP, California",0,328,05346,228,0,0,0,NA,NA,0,0,0,0,0
0606000,"Berkeley city, California",10769,109408,"Berkeley city, California",9594,121485,06000,102724,19281,-1175,-9687,-0.10910948091744824,-0.5024117006379337,0.09842973091547236,0.07897271268057784,0.18769713017405865,-0.019457018234894513,-0.1087244174934808
0606028,"Bermuda Dunes CDP, California",230,6879,"Bermuda Dunes CDP, California",131,6704,06028,4416,51,-99,80,-0.43043478260869567,1.5686274509803921,0.03343509230992877,0.019540572792362768,0.01154891304347826,-0.013894519517566001,0.007991659748884508
0606070,"Berry Creek CDP, California",0,1209,"Berry Creek CDP, California",0,1313,06070,1209,3,0,-3,NA,-1,0,0,0.0024813895781637717,0,-0.0024813895781637717
0606150,"Bertsch-Oceanview CDP, California",0,2589,"Bertsch-Oceanview CDP, California",0,1988,06150,1581,10,0,-10,NA,-1,0,0,0.006325110689437065,0,-0.006325110689437065
0606210,"Bethel Island CDP, California",23,2191,"Bethel Island CDP, California",100,2161,06210,2115,21,77,79,3.347826086956522,3.761904761904762,0.010497489730716568,0.04627487274409996,0.009929078014184398,0.03577738301338339,0.03634579472991556
0606308,"Beverly Hills city, California",928,33980,"Beverly Hills city, California",665,34186,06308,31995,543,-263,122,-0.2834051724137931,0.22467771639042358,0.027310182460270747,0.019452407418241384,0.016971401781528363,-0.0078577750420293635,0.0024810056367130205
0606336,"Bieber CDP, California",0,257,"Bieber CDP, California",0,156,06336,456,0,0,0,NA,NA,0,0,0,0,0
0606406,"Big Bear City CDP, California",140,11937,"Big Bear City CDP, California",161,13463,06406,8517,16,21,145,0.15,9.0625,0.011728239926279634,0.011958701626680533,0.0018785957496771164,2.3046170040089825e-4,0.010080105877003417
0606434,"Big Bear Lake city, California",35,5171,"Big Bear Lake city, California",16,5241,06434,5358,20,-19,-4,-0.5428571428571428,-0.2,0.006768516727905628,0.0030528525090631558,0.003732736095558044,-0.003715664218842472,-6.798835864948883e-4
0606475,"Big Bend CDP, California",0,91,"Big Bend CDP, California",3,132,06475,166,0,3,3,NA,NA,0,0.022727272727272728,0,0.022727272727272728,0.022727272727272728
0606518,"Big Creek CDP, California",0,189,"Big Creek CDP, California",0,198,06518,288,0,0,0,NA,NA,0,0,0,0,0
0606560,"Biggs city, California",12,2077,"Biggs city, California",0,2175,06560,1602,0,-12,0,-1,NA,0.005777563793933558,0,0,-0.005777563793933558,0
0606567,"Big Lagoon CDP, California",0,189,"Big Lagoon CDP, California",0,100,06567,41,0,0,0,NA,NA,0,0,0,0,0
0606616,"Big Pine CDP, California",13,1682,"Big Pine CDP, California",14,1524,06616,1610,0,1,14,0.07692307692307693,NA,0.0077288941736028535,0.009186351706036745,0,0.0014574575324338918,0.009186351706036745
0606635,"Big River CDP, California",31,1212,"Big River CDP, California",7,1149,06635,705,22,-24,-15,-0.7741935483870968,-0.6818181818181818,0.02557755775577558,0.006092254134029591,0.031205673758865248,-0.019485303621745987,-0.025113419624835657
0606728,"Biola CDP, California",0,997,"Biola CDP, California",52,1705,06728,1051,3,52,49,NA,16.333333333333332,0,0.030498533724340176,0.0028544243577545195,0.030498533724340176,0.027644109366585658
0606798,"Bishop city, California",0,3826,"Bishop city, California",41,3745,06798,3475,8,41,33,NA,4.125,0,0.010947930574098798,0.002302158273381295,0.010947930574098798,0.008645772300717502
0606928,"Blackhawk CDP, California",347,9607,"Blackhawk CDP, California",161,9604,06928,6416,93,-186,68,-0.5360230547550432,0.7311827956989247,0.036119496200686996,0.016763848396501458,0.01449501246882793,-0.019355647804185538,0.0022688359276735286
0606935,"Blacklake CDP, California",0,1195,"Blacklake CDP, California",0,850,06935,367,0,0,0,NA,NA,0,0,0,0,0
0606982,"Black Point-Green Point CDP, California",0,1284,"Black Point-Green Point CDP, California",0,1622,06982,1178,2,0,-2,NA,-1,0,0,0.001697792869269949,0,-0.001697792869269949
0606994,"Blairsden CDP, California",0,33,"Blairsden CDP, California",0,18,06994,78,0,0,0,NA,NA,0,0,0,0,0
0607036,"Bloomfield CDP, California",0,336,"Bloomfield CDP, California",0,292,07036,916,20,0,-20,NA,-1,0,0,0.021834061135371178,0,-0.021834061135371178
0607064,"Bloomington CDP, California",749,24982,"Bloomington CDP, California",576,21847,07064,15635,452,-173,124,-0.23097463284379172,0.2743362831858407,0.029981586742454568,0.026365175996704352,0.028909497921330348,-0.0036164107457502155,-0.002544321924625996
0607162,"Blue Lake city, California",29,1293,"Blue Lake city, California",0,902,07162,1235,1,-29,-1,-1,-1,0.02242846094354215,0,8.097165991902834e-4,-0.02242846094354215,-8.097165991902834e-4
0607172,"Bluewater CDP, California",0,175,"Bluewater CDP, California",0,163,07172,261,0,0,0,NA,NA,0,0,0,0,0
0607218,"Blythe city, California",3446,21164,"Blythe city, California",2208,19643,07218,11247,996,-1238,1212,-0.359257109692397,1.216867469879518,0.1628236628236628,0.11240645522578017,0.08855694851960523,-0.05041720759788264,0.023849506706174944
0607246,"Bodega CDP, California",0,207,"Bodega CDP, California",19,892,07246,201,0,19,19,NA,NA,0,0.021300448430493273,0,0.021300448430493273,0.021300448430493273
0607260,"Bodega Bay CDP, California",0,784,"Bodega Bay CDP, California",0,665,07260,1131,0,0,0,NA,NA,0,0,0,0,0
