GEOID,NAME.x,estimate_2010,pop_2010,NAME.y,estimate_2019,pop_2019,PLACEA,pop_1990,estimate_1990,dif_10_19,dif_90_19,change_perc_10_19,change_perc_90_19,share_2010,share_2019,share_1990,share_dif_10_19,share_dif_90_19
0607274,"Bodfish CDP, California",0,1942,"Bodfish CDP, California",0,2030,07274,1766,6,0,-6,NA,-1,0,0,0.0033975084937712344,0,-0.0033975084937712344
0607316,"Bolinas CDP, California",0,1162,"Bolinas CDP, California",0,1074,07316,1361,22,0,-22,NA,-1,0,0,0.016164584864070537,0,-0.016164584864070537
0607372,"Bombay Beach CDP, California",138,300,"Bombay Beach CDP, California",6,297,07372,354,59,-132,-53,-0.9565217391304348,-0.8983050847457628,0.46,0.020202020202020204,0.16666666666666666,-0.4397979797979798,-0.14646464646464646
0607379,"Bonadelle Ranchos-Madera Ranchos CDP, California",581,8940,"Bonadelle Ranchos-Madera Ranchos CDP, California",102,9551,07379,5883,82,-479,20,-0.8244406196213425,0.24390243902439024,0.06498881431767338,0.01067950999895299,0.013938466768655448,-0.054309304318720386,-0.0032589567697024584
0607414,"Bonita CDP, California",734,14065,"Bonita CDP, California",319,12706,07414,12566,342,-415,-23,-0.5653950953678474,-0.06725146198830409,0.05218627799502311,0.025106249016212813,0.027216297946840683,-0.027080028978810296,-0.0021100489306278697
0607470,"Bonny Doon CDP, California",48,2410,"Bonny Doon CDP, California",34,3096,07470,2426,7,-14,27,-0.2916666666666667,3.857142857142857,0.01991701244813278,0.010981912144702842,0.0028854080791426216,-0.008935100303429937,0.00809650406556022
0607498,"Bonsall CDP, California",132,4235,"Bonsall CDP, California",52,4458,07498,3046,19,-80,33,-0.6060606060606061,1.736842105263158,0.03116883116883117,0.011664423508299685,0.00623768877216021,-0.019504407660531485,0.005426734736139476
0607512,"Boonville CDP, California",0,1048,"Boonville CDP, California",56,947,07512,917,15,56,41,NA,2.7333333333333334,0,0.059134107708553325,0.016357688113413305,0.059134107708553325,0.04277641959514002
0607525,"Bootjack CDP, California",0,918,"Bootjack CDP, California",0,743,07525,430,0,0,0,NA,NA,0,0,0,0,0
0607568,"Boron CDP, California",104,2075,"Boron CDP, California",84,2221,07568,2903,43,-20,41,-0.19230769230769232,0.9534883720930233,0.05012048192771084,0.03782080144079244,0.014812263176024801,-0.012299680486918402,0.023008538264767637
0607578,"Boronda CDP, California",62,1778,"Boronda CDP, California",13,1763,07578,1227,20,-49,-7,-0.7903225806451613,-0.35,0.03487064116985377,0.00737379466817924,0.016299918500407497,-0.02749684650167453,-0.008926123832228256
0607596,"Borrego Springs CDP, California",0,2412,"Borrego Springs CDP, California",112,2145,07596,2244,0,112,112,NA,NA,0,0.052214452214452214,0,0.052214452214452214,0.052214452214452214
0607624,"Bostonia CDP, California",931,14515,"Bostonia CDP, California",1518,16603,07624,13615,371,587,1147,0.6305048335123523,3.091644204851752,0.06414054426455391,0.0914292597723303,0.02724935732647815,0.02728871550777638,0.06417990244585214
0607652,"Boulder Creek CDP, California",0,5386,"Boulder Creek CDP, California",44,5182,07652,5907,28,44,16,NA,0.5714285714285714,0,0.008490930142802007,0.004740138818351109,0.008490930142802007,0.0037507913244508983
0607694,"Boulevard CDP, California",0,31,"Boulevard CDP, California",0,405,07694,182,0,0,0,NA,NA,0,0,0,0,0
0607750,"Bowles CDP, California",8,183,"Bowles CDP, California",0,272,07750,197,2,-8,-2,-1,-1,0.04371584699453552,0,0.01015228426395939,-0.04371584699453552,-0.01015228426395939
0607848,"Boyes Hot Springs CDP, California",31,6965,"Boyes Hot Springs CDP, California",133,7728,07848,5272,24,102,109,3.2903225806451615,4.541666666666667,0.004450825556353195,0.017210144927536232,0.004552352048558422,0.012759319371183037,0.01265779287897781
0607946,"Bradbury city, California",6,978,"Bradbury city, California",8,833,07946,778,18,2,-10,0.3333333333333333,-0.5555555555555556,0.006134969325153374,0.009603841536614645,0.02313624678663239,0.003468872211461271,-0.013532405250017745
0607974,"Bradley CDP, California",0,80,"Bradley CDP, California",0,113,07974,79,0,0,0,NA,NA,0,0,0,0,0
0608058,"Brawley city, California",964,24288,"Brawley city, California",372,26076,08058,18993,470,-592,-98,-0.6141078838174274,-0.20851063829787234,0.03969038208168643,0.014265991716520939,0.024745959037540146,-0.025424390365165493,-0.010479967321019207
0608100,"Brea city, California",453,38427,"Brea city, California",770,42678,08100,33173,357,317,413,0.6997792494481236,1.1568627450980393,0.011788586150363026,0.018042082571816862,0.010761764085250054,0.006253496421453836,0.007280318486566809
0608142,"Brentwood city, California",2731,46283,"Brentwood city, California",5342,61961,08142,9220,54,2611,5288,0.9560600512632735,97.92592592592592,0.05900654668020656,0.08621552266748439,0.005856832971800434,0.027208975987277832,0.08035868969568395
0608172,"Bret Harte CDP, California",89,5102,"Bret Harte CDP, California",8,5148,08172,4106,11,-81,-3,-0.9101123595505618,-0.2727272727272727,0.017444139553116425,0.001554001554001554,0.002679006332196785,-0.015890137999114873,-0.001125004778195231
0608240,"Bridgeport CDP, California",0,402,"Bridgeport CDP, California",4,542,08240,666,2,4,2,NA,1,0,0.007380073800738007,0.003003003003003003,0.007380073800738007,0.004377070797735004
0608310,"Brisbane city, California",39,4098,"Brisbane city, California",131,4697,08310,2952,52,92,79,2.358974358974359,1.5192307692307692,0.00951683748169839,0.027890142644241004,0.017615176151761516,0.018373305162542614,0.010274966492479488
0608338,"Broadmoor CDP, California",21,3917,"Broadmoor CDP, California",62,5170,08338,3741,86,41,-24,1.9523809523809523,-0.27906976744186046,0.005361245851416901,0.011992263056092843,0.022988505747126436,0.006631017204675942,-0.010996242691033593
0608478,"Brookdale CDP, California",0,1827,"Brookdale CDP, California",24,1939,08478,1757,22,24,2,NA,0.09090909090909091,0,0.012377514182568335,0.012521343198634035,0.012377514182568335,-1.4382901606570068e-4
0608530,"Brooktrails CDP, California",0,3495,"Brooktrails CDP, California",0,3800,08530,2216,13,0,-13,NA,-1,0,0,0.0058664259927797835,0,-0.0058664259927797835
0608680,"Buckhorn CDP, California",0,2712,"Buckhorn CDP, California",10,2387,08680,2354,16,10,-6,NA,-0.375,0,0.0041893590280687055,0.006796941376380629,0.0041893590280687055,-0.0026075823483119234
0608716,"Buck Meadows CDP, California",0,0,"Buck Meadows CDP, California",0,10,08716,70,0,0,0,NA,NA,NA,0,0,NA,0
0608744,"Bucks Lake CDP, California",0,23,"Bucks Lake CDP, California",0,0,08744,19,0,0,0,NA,NA,0,NA,0,NA,NA
0608758,"Buellton city, California",0,4609,"Buellton city, California",44,5082,08758,3455,11,44,33,NA,3,0,0.008658008658008658,0.0031837916063675834,0.008658008658008658,0.005474217051641075
0608786,"Buena Park city, California",3374,79744,"Buena Park city, California",2376,82489,08786,68858,1755,-998,621,-0.2957913455838767,0.35384615384615387,0.04231039325842697,0.028803840512068277,0.025487234598739434,-0.013506552746358692,0.0033166059133288434
0608828,"Buena Vista CDP, California",0,518,"Buena Vista CDP, California",10,595,08828,377,0,10,10,NA,NA,0,0.01680672268907563,0,0.01680672268907563,0.01680672268907563
0608954,"Burbank city, California",2104,102723,"Burbank city, California",3139,103703,08954,93643,1638,1035,1501,0.4919201520912547,0.9163614163614163,0.02048226784653875,0.03026913396912336,0.017491964161763292,0.00978686612258461,0.012777169807360069
0608968,"Burbank CDP, California",55,4927,"Burbank CDP, California",43,5022,08968,4551,126,-12,-83,-0.21818181818181817,-0.6587301587301587,0.01116297950071037,0.008562325766626843,0.027686222808174028,-0.002600653734083528,-0.019123897041547183
0609066,"Burlingame city, California",467,28204,"Burlingame city, California",367,30576,09066,26801,261,-100,106,-0.21413276231263384,0.4061302681992337,0.016557935044674513,0.012002878074306646,0.009738442595425544,-0.004555056970367868,0.002264435478881102
0609122,"Burney CDP, California",0,3091,"Burney CDP, California",51,3965,09122,3423,5,51,46,NA,9.2,0,0.012862547288776798,0.001460706982179375,0.012862547288776798,0.011401840306597423
0609150,"Burnt Ranch CDP, California",0,232,"Burnt Ranch CDP, California",0,299,09150,259,0,0,0,NA,NA,0,0,0,0,0
0609310,"Butte Creek Canyon CDP, California",0,1016,"Butte Creek Canyon CDP, California",0,958,09310,958,1,0,-1,NA,-1,0,0,0.0010438413361169101,0,-0.0010438413361169101
0609318,"Butte Meadows CDP, California",0,30,"Butte Meadows CDP, California",0,41,09318,41,0,0,0,NA,NA,0,0,0,0,0
0609324,"Butte Valley CDP, California",0,948,"Butte Valley CDP, California",0,736,09324,647,4,0,-4,NA,-1,0,0,0.0061823802163833074,0,-0.0061823802163833074
0609332,"Buttonwillow CDP, California",139,1675,"Buttonwillow CDP, California",12,1443,09332,1337,164,-127,-152,-0.9136690647482014,-0.926829268292683,0.08298507462686568,0.008316008316008316,0.12266267763649963,-0.07466906631085736,-0.11434666932049131
0609346,"Byron CDP, California",59,1200,"Byron CDP, California",52,1304,09346,1117,45,-7,7,-0.11864406779661017,0.15555555555555556,0.049166666666666664,0.03987730061349693,0.04028648164726947,-0.009289366053169733,-4.0918103377254184e-4
0609353,"Bystrom CDP, California",0,4010,"Bystrom CDP, California",3,3759,09353,3301,62,3,-59,NA,-0.9516129032258065,0,7.980845969672786e-4,0.018782187215995155,7.980845969672786e-4,-0.017984102619027876
0609360,"Cabazon CDP, California",100,1931,"Cabazon CDP, California",77,2588,09360,1678,81,-23,-4,-0.23,-0.04938271604938271,0.05178663904712584,0.029752704791344668,0.048271752085816445,-0.022033934255781172,-0.018519047294471777
0609598,"Calabasas city, California",590,22686,"Calabasas city, California",384,23988,09598,15823,171,-206,213,-0.34915254237288135,1.2456140350877194,0.026007229128096623,0.016008004002001,0.010807053024078873,-0.009999225126095624,0.005200950977922126
0609710,"Calexico city, California",77,36304,"Calexico city, California",125,39946,09710,19176,42,48,83,0.6233766233766234,1.9761904761904763,0.002120978404583517,0.0031292244530115657,0.002190237797246558,0.0010082460484280489,9.389866557650076e-4
0609780,"California City city, California",1826,13264,"California City city, California",3603,13826,09780,5921,682,1777,2921,0.9731653888280394,4.282991202346041,0.1376658624849216,0.2605959785910603,0.11518324607329843,0.12293011610613871,0.14541273251776188
0609822,"California Hot Springs CDP, California",0,65,"California Hot Springs CDP, California",0,47,09822,38,0,0,0,NA,NA,0,0,0,0,0
0609834,"California Pines CDP, California",0,126,"California Pines CDP, California",0,431,09834,410,2,0,-2,NA,-1,0,0,0.004878048780487805,0,-0.004878048780487805
0609864,"Calimesa city, California",47,7869,"Calimesa city, California",111,8814,09864,6700,15,64,96,1.3617021276595744,6.4,0.005972804676578981,0.01259360108917631,0.002238805970149254,0.006620796412597329,0.010354795119027056
0609878,"Calipatria city, California",19,6953,"Calipatria city, California",1161,7395,09878,2701,89,1142,1072,60.10526315789474,12.044943820224718,0.0027326333956565513,0.1569979716024341,0.03295075897815624,0.15426533820677754,0.12404721262427784
0609892,"Calistoga city, California",36,5147,"Calistoga city, California",0,5271,09892,4468,12,-36,-12,-1,-1,0.006994365649893142,0,0.0026857654431512983,-0.006994365649893142,-0.0026857654431512983
0609948,"Callender CDP, California",0,1436,"Callender CDP, California",0,1215,09948,922,6,0,-6,NA,-1,0,0,0.006507592190889371,0,-0.006507592190889371
0609990,"Calpella CDP, California",52,791,"Calpella CDP, California",0,682,09990,850,13,-52,-13,-1,-1,0.06573957016434892,0,0.015294117647058824,-0.06573957016434892,-0.015294117647058824
0610004,"Calpine CDP, California",0,122,"Calpine CDP, California",0,182,10004,187,0,0,0,NA,NA,0,0,0,0,0
0610031,"Calwa CDP, California",0,1627,"Calwa CDP, California",155,2089,10031,1894,31,155,124,NA,4,0,0.07419818094782192,0.016367476240760296,0.07419818094782192,0.05783070470706163
0610042,"Camanche North Shore CDP, California",0,777,"Camanche North Shore CDP, California",0,1139,10042,396,12,0,-12,NA,-1,0,0,0.030303030303030304,0,-0.030303030303030304
0610044,"Camanche Village CDP, California",0,589,"Camanche Village CDP, California",0,903,10044,174,2,0,-2,NA,-1,0,0,0.011494252873563218,0,-0.011494252873563218
0610046,"Camarillo city, California",1188,63599,"Camarillo city, California",1318,68122,10046,53125,847,130,471,0.10942760942760943,0.5560802833530106,0.01867953898646205,0.019347640997034732,0.015943529411764707,6.681020105726819e-4,0.0034041115852700247
0610074,"Cambria CDP, California",0,6371,"Cambria CDP, California",33,5647,10074,5385,12,33,21,NA,1.75,0,0.0058438108730299275,0.0022284122562674096,0.0058438108730299275,0.003615398616762518
0610088,"Cambrian Park CDP, California",7,3245,"Cambrian Park CDP, California",13,3258,10088,3060,14,6,-1,0.8571428571428571,-0.07142857142857142,0.0021571648690292757,0.003990178023327195,0.004575163398692811,0.0018330131542979191,-5.849853753656159e-4
0610256,"Cameron Park CDP, California",120,17211,"Cameron Park CDP, California",176,19171,10256,12843,44,56,132,0.4666666666666667,3,0.006972285166463308,0.009180533096865057,0.003425990812115549,0.0022082479304017487,0.005754542284749508
0610270,"Camino CDP, California",0,1732,"Camino CDP, California",0,1903,10270,1458,0,0,0,NA,NA,0,0,0,0,0
0610301,"Camino Tassajara CDP, California",33,1725,"Camino Tassajara CDP, California",76,4721,NA,NA,NA,43,NA,1.303030303030303,NA,0.019130434782608695,0.01609828426180894,NA,-0.003032150520799755,NA
0610345,"Campbell city, California",707,38692,"Campbell city, California",1039,42221,10345,36920,714,332,325,0.4695898161244696,0.45518207282913165,0.018272511113408458,0.024608607091257905,0.01933911159263272,0.006336095977849447,0.005269495498625185
0610494,"Camp Nelson CDP, California",0,66,"Camp Nelson CDP, California",0,0,10494,110,0,0,0,NA,NA,0,NA,0,NA,NA
0610508,"Campo CDP, California",257,2960,"Campo CDP, California",46,3408,10508,2087,63,-211,-17,-0.8210116731517509,-0.2698412698412698,0.08682432432432433,0.013497652582159625,0.03018687110685194,-0.0733266717421647,-0.016689218524692316
0610559,"Camp Pendleton North CDP, California",1062,10104,"Camp Pendleton North CDP, California",299,7367,10559,10373,1896,-763,-1597,-0.7184557438794726,-0.8422995780590717,0.10510688836104513,0.04058639880548391,0.1827822230791478,-0.06452048955556122,-0.1421958242736639
0610561,"Camp Pendleton South CDP, California",1800,13402,"Camp Pendleton South CDP, California",940,11936,10561,11299,2569,-860,-1629,-0.4777777777777778,-0.6340988711560919,0.13430831219221012,0.07875335120643431,0.22736525356226214,-0.05555496098577581,-0.14861190235582783
0610676,"Camptonville CDP, California",0,188,"Camptonville CDP, California",0,339,10676,182,1,0,-1,NA,-1,0,0,0.005494505494505495,0,-0.005494505494505495
0610732,"Canby CDP, California",0,199,"Canby CDP, California",6,282,10732,309,3,6,3,NA,1,0,0.02127659574468085,0.009708737864077669,0.02127659574468085,0.011567857880603181
0610816,"Cantua Creek CDP, California",0,190,"Cantua Creek CDP, California",0,379,10816,537,0,0,0,NA,NA,0,0,0,0,0
0610914,"Canyondam CDP, California",0,0,"Canyondam CDP, California",0,0,10914,48,0,0,0,NA,NA,NA,NA,0,NA,NA
0610928,"Canyon Lake city, California",45,10618,"Canyon Lake city, California",0,11170,10928,10399,95,-45,-95,-1,-1,0.004238086268600489,0,0.009135493797480528,-0.004238086268600489,-0.009135493797480528
0611040,"Capitola city, California",109,9801,"Capitola city, California",58,10121,11040,9990,148,-51,-90,-0.46788990825688076,-0.6081081081081081,0.011121314151617183,0.0057306590257879654,0.014814814814814815,-0.005390655125829217,-0.00908415578902685
0611166,"Caribou CDP, California",0,0,"Caribou CDP, California",0,0,11166,11,0,0,0,NA,NA,NA,NA,0,NA,NA
0611194,"Carlsbad city, California",776,99753,"Carlsbad city, California",1030,114253,11194,63311,745,254,285,0.327319587628866,0.3825503355704698,0.007779214660210721,0.00901508056681225,0.011767307418931939,0.0012358659066015291,-0.002752226852119689
0611250,"Carmel-by-the-Sea city, California",52,3725,"Carmel-by-the-Sea city, California",2,3830,11250,4239,13,-50,-11,-0.9615384615384616,-0.8461538461538461,0.01395973154362416,5.221932114882506e-4,0.003066761028544468,-0.01343753833213591,-0.002544567817056217
0611324,"Carmel Valley Village CDP, California",0,4671,"Carmel Valley Village CDP, California",20,4152,11324,4407,14,20,6,NA,0.42857142857142855,0,0.004816955684007707,0.0031767642387111415,0.004816955684007707,0.0016401914452965653
0611376,"Carmet CDP, California",0,31,"Carmet CDP, California",0,0,11376,56,0,0,0,NA,NA,0,NA,0,NA,NA
0611390,"Carmichael CDP, California",2618,61806,"Carmichael CDP, California",2777,64454,11390,60954,1320,159,1457,0.06073338426279603,1.1037878787878788,0.04235834708604343,0.043084990846184876,0.021655674771138892,7.266437601414488e-4,0.021429316075045984
0611418,"Carnelian Bay CDP, California",0,291,"Carnelian Bay CDP, California",16,451,11418,616,1,16,15,NA,15,0,0.03547671840354767,0.0016233766233766235,0.03547671840354767,0.03385334178017105
0611446,"Carpinteria city, California",34,13122,"Carpinteria city, California",63,13505,11446,13747,105,29,-42,0.8529411764705882,-0.4,0.002591068434689834,0.004664938911514254,0.007638030115661599,0.0020738704768244205,-0.0029730912041473446
0611481,"Carrick CDP, California",0,170,"Carrick CDP, California",0,92,11481,43,3,0,-3,NA,-1,0,0,0.06976744186046512,0,-0.06976744186046512
0611530,"Carson city, California",21422,91299,"Carson city, California",21922,92079,11530,83995,21953,500,-31,0.023340491083932408,-0.0014121076845989159,0.23463564770698475,0.23807817200447443,0.26136079528543366,0.003442524297489674,-0.02328262328095923
0611600,"Cartago CDP, California",0,54,"Cartago CDP, California",0,5,11600,112,0,0,0,NA,NA,0,0,0,0,0
0611614,"Caruthers CDP, California",98,2883,"Caruthers CDP, California",0,2559,11614,1603,5,-98,-5,-1,-1,0.03399236906000694,0,0.0031191515907673115,-0.03399236906000694,-0.0031191515907673115
0611656,"Casa Conejo CDP, California",171,3123,"Casa Conejo CDP, California",61,3372,11656,3286,26,-110,35,-0.6432748538011696,1.3461538461538463,0.05475504322766571,0.018090154211150653,0.007912355447352405,-0.03666488901651506,0.010177798763798249
0611691,"Casa de Oro-Mount Helix CDP, California",1407,19118,"Casa de Oro-Mount Helix CDP, California",1273,19804,11691,19419,539,-134,734,-0.09523809523809523,1.3617810760667903,0.0735955643895805,0.06427994344576853,0.02775632112879139,-0.00931562094381197,0.03652362231697713
0611754,"Casmalia CDP, California",0,400,"Casmalia CDP, California",10,144,11754,120,1,10,9,NA,9,0,0.06944444444444445,0.008333333333333333,0.06944444444444445,0.061111111111111116
0611768,"Caspar CDP, California",0,828,"Caspar CDP, California",0,608,11768,563,5,0,-5,NA,-1,0,0,0.008880994671403197,0,-0.008880994671403197
0611782,"Cassel CDP, California",0,458,"Cassel CDP, California",0,247,11782,163,0,0,0,NA,NA,0,0,0,0,0
0611796,"Castaic CDP, California",1052,18134,"Castaic CDP, California",735,19400,11796,8532,156,-317,579,-0.30133079847908745,3.7115384615384617,0.058012573067166645,0.03788659793814433,0.01828410689170183,-0.020125975129022318,0.0196024910464425
0611915,"Castle Hill CDP, California",0,1328,"Castle Hill CDP, California",83,1426,11915,1126,9,83,74,NA,8.222222222222221,0,0.05820476858345021,0.007992895204262877,0.05820476858345021,0.05021187337918733
0611964,"Castro Valley CDP, California",3765,60625,"Castro Valley CDP, California",5155,63013,11964,50639,1893,1390,3262,0.3691899070385126,1.7231907025884838,0.062103092783505155,0.08180851570310889,0.03738225478386224,0.019705422919603734,0.044426260919246646
0611978,"Castroville CDP, California",0,5490,"Castroville CDP, California",1,6521,11978,5272,86,1,-85,NA,-0.9883720930232558,0,1.5335071308081582e-4,0.016312594840667678,1.5335071308081582e-4,-0.01615924412758686
0612048,"Cathedral City city, California",784,50597,"Cathedral City city, California",1482,54357,12048,30098,667,698,815,0.8903061224489796,1.221889055472264,0.01549498982153092,0.027264197803410783,0.022160940926307396,0.011769207981879862,0.005103256877103387
0612062,"Catheys Valley CDP, California",0,993,"Catheys Valley CDP, California",0,604,12062,649,0,0,0,NA,NA,0,0,0,0,0
0612132,"Cayucos CDP, California",0,2859,"Cayucos CDP, California",0,2630,12132,2875,10,0,-10,NA,-1,0,0,0.0034782608695652175,0,-0.0034782608695652175
0612146,"Cazadero CDP, California",0,362,"Cazadero CDP, California",0,340,12146,661,26,0,-26,NA,-1,0,0,0.039334341906202726,0,-0.039334341906202726
0612300,"Cedar Ridge CDP, California",1,1087,"Cedar Ridge CDP, California",0,1015,12300,952,1,-1,-1,-1,-1,9.199632014719411e-4,0,0.0010504201680672268,-9.199632014719411e-4,-0.0010504201680672268
0612314,"Cedar Slope CDP, California",0,0,"Cedar Slope CDP, California",0,0,12314,11,0,0,0,NA,NA,NA,NA,0,NA,NA
0612328,"Cedarville CDP, California",0,502,"Cedarville CDP, California",0,606,12328,565,0,0,0,NA,NA,0,0,0,0,0
0612412,"Centerville CDP, California",0,307,"Centerville CDP, California",0,379,12412,423,0,0,0,NA,NA,0,0,0,0,0
