GEOID,NAME.x,estimate_2010,pop_2010,NAME.y,estimate_2019,pop_2019,pop_1990,estimate_1990,dif_10_19,dif_90_19,change_perc_10_19,change_perc_90_19,share_2010,share_2019,share_1990,share_dif_10_19,share_dif_90_19
06047,"Merced County, California",9781,250699,"Merced County, California",8645,271382,178403,8523,-1136,122,-0.11614354360494837,0.014314208611991083,0.039014914299618265,0.03185546572727742,0.04777386030503971,-0.007159448572340847,-0.015918394577762292
06049,"Modoc County, California",96,9605,"Modoc County, California",136,8907,9678,78,40,58,0.4166666666666667,0.7435897435897436,0.009994794377928162,0.01526888963736387,0.008059516429014259,0.0052740952594357085,0.007209373208349612
06051,"Mono County, California",118,13905,"Mono County, California",111,14310,9956,43,-7,68,-0.059322033898305086,1.5813953488372092,0.008486156058971593,0.007756813417190775,0.004319003615910004,-7.293426417808177e-4,0.0034378098012807718
06053,"Monterey County, California",13091,407435,"Monterey County, California",11367,433410,355660,22849,-1724,-11482,-0.13169352990604233,-0.5025165215107882,0.0321302784493232,0.026226898317989893,0.06424394084237756,-0.0059033801313333086,-0.03801704252438766
06055,"Napa County, California",2943,134051,"Napa County, California",2883,139623,110765,1204,-60,1679,-0.020387359836901122,1.3945182724252492,0.021954330814391538,0.02064846049719602,0.01086985961269354,-0.001305870317195517,0.00977860088450248
06057,"Nevada County, California",432,98186,"Nevada County, California",570,99244,78510,180,138,390,0.3194444444444444,2.1666666666666665,0.00439981260057442,0.005743420257144008,0.0022927015666794038,0.001343607656569588,0.0034507186904646045
06059,"Orange County, California",48361,2965525,"Orange County, California",55591,3168044,2410556,42681,7230,12910,0.14950063067347658,0.3024765117968183,0.016307736404178014,0.017547420427241542,0.017705873665660538,0.001239684023063528,-1.5845323841899572e-4
06061,"Placer County, California",4502,336477,"Placer County, California",6626,385512,172796,1033,2124,5593,0.4717903154153709,5.41432720232333,0.013379814965064477,0.01718753242441221,0.005978147642306535,0.003807717459347732,0.011209384782105675
06063,"Plumas County, California",225,20392,"Plumas County, California",166,18660,19739,152,-59,14,-0.26222222222222225,0.09210526315789473,0.011033738721067086,0.008896034297963559,0.007700491412938852,-0.002137704423103527,0.0011955428850247071
06065,"Riverside County, California",131258,2109464,"Riverside County, California",156836,2411439,1170413,63591,25578,93245,0.19486812232397263,1.4663238508593983,0.06222338944869408,0.06503834432469575,0.05433210328320003,0.0028149548760016754,0.010706241041495722
06067,"Sacramento County, California",142676,1395144,"Sacramento County, California",149891,1524553,1041219,97129,7215,52762,0.05056912164624744,0.5432157234193701,0.10226614600356666,0.09831799878390585,0.09328392970162858,-0.003948147219660816,0.0050340690822772705
06069,"San Benito County, California",665,54492,"San Benito County, California",491,60376,36697,204,-174,287,-0.26165413533834586,1.4068627450980393,0.012203626220362623,0.008132370478335763,0.0055590375235032834,-0.004071255742026859,0.00257333295483248
06071,"San Bernardino County, California",178597,2005287,"San Bernardino County, California",179292,2149031,1418380,114934,695,64358,0.0038914427453988587,0.559956148746237,0.0890630617961419,0.08342922926658573,0.08103188144220871,-0.005633832529556168,0.002397347824377019
06073,"San Diego County, California",152313,3022468,"San Diego County, California",166750,3316073,2498016,159306,14437,7444,0.09478508072193444,0.04672768131771559,0.05039358563928551,0.0502853827403679,0.06377301026094308,-1.082028989176087e-4,-0.013487627520575175
06075,"San Francisco County, California",49071,789172,"San Francisco County, California",45556,874961,723959,79039,-3515,-33483,-0.07163090216217317,-0.4236263110616278,0.0621803611886889,0.05206632067029273,0.10917607212563142,-0.010114040518396171,-0.05710975145533869
06077,"San Joaquin County, California",49261,673613,"San Joaquin County, California",51931,742603,480628,27094,2670,24837,0.054201092141856644,0.9166974237838635,0.07312952689452253,0.0699310398692168,0.05637207986218031,-0.0031984870253057296,0.013558960007036484
06079,"San Luis Obispo County, California",5666,265577,"San Luis Obispo County, California",5319,282165,217162,5727,-347,-408,-0.06124249911754324,-0.07124148768989,0.021334678831374704,0.018850672478868746,0.02637201720374651,-0.002484006352505959,-0.007521344724877765
06081,"San Mateo County, California",20503,704327,"San Mateo County, California",17784,767423,649623,35283,-2719,-17499,-0.13261473930644296,-0.49596122778675283,0.02911005825419159,0.023173660419351517,0.05431304002475282,-0.005936397834840072,-0.0311393796054013
06083,"Santa Barbara County, California",7976,416051,"Santa Barbara County, California",8984,444829,369608,10402,1008,-1418,0.12637913741223672,-0.1363199384733705,0.01917072666572127,0.020196524956781144,0.02814333023094738,0.0010257982910598755,-0.007946805274166236
06085,"Santa Clara County, California",44431,1739396,"Santa Clara County, California",47992,1927470,1497577,56211,3561,-8219,0.08014674439017803,-0.1462169326288449,0.025543924442737596,0.02489896081391669,0.03753463094051258,-6.449636288209069e-4,-0.012635670126595888
06087,"Santa Cruz County, California",2424,256901,"Santa Cruz County, California",2904,273962,229734,2632,480,272,0.19801980198019803,0.1033434650455927,0.00943554131747249,0.01060001022039553,0.011456728216110806,0.0011644689029230403,-8.567179957152758e-4
06089,"Shasta County, California",1470,176906,"Shasta County, California",2088,179212,147036,1081,618,1007,0.4204081632653061,0.9315448658649399,0.008309497699343154,0.011651005513023682,0.0073519410212464975,0.003341507813680528,0.004299064491777184
06091,"Sierra County, California",37,3366,"Sierra County, California",2,3040,3318,6,-35,-4,-0.9459459459459459,-0.6666666666666666,0.010992275698158051,6.578947368421052e-4,0.0018083182640144665,-0.010334380961315946,-0.0011504235271723611
06093,"Siskiyou County, California",577,44690,"Siskiyou County, California",695,43468,43531,691,118,4,0.2045060658578856,0.005788712011577424,0.012911165808905795,0.01598877335051072,0.015873745147136523,0.0030776075416049237,1.1502820337419561e-4
