var,est,se,p_val,log
am,7.244939271255056,1.764421631642803,2.8502074393506777e-4,FALSE
carb,-2.055718701700156,0.5685456395901258,0.001084446220491673,FALSE
decon,2.567034700315449,1.2914280224810348,0.05635444955618435,FALSE
disp,-0.041215119962786144,0.004711833309637006,9.380326537381499e-10,FALSE
gear,3.9233333333333325,1.3081306990992627,0.0054009482247076674,FALSE
nope,-0.526145955070772,0.41529137156013934,0.21526027885456167,FALSE
nota,-0.02361521966270149,1.5456453324349277,0.9879145855484475,FALSE
qsec,1.412124835144409,0.5592101300659771,0.01708198849651955,FALSE
vs,7.940476190476193,1.6323700245971575,3.415937254419926e-5,FALSE
weig,1.8334582467167395,1.4360995847216254,0.21183961206943414,FALSE
wt,-5.344471572722674,0.5591010450993232,1.29395870135053e-10,FALSE
am,0.34664031951116187,0.08868522389768307,4.905002320354575e-4,TRUE
carb,-0.10154682006606107,0.028092530790774475,0.001087423862868107,TRUE
decon,0.110183973900234,0.06429799078735422,0.09726574035175507,TRUE
disp,-0.0021152463870841836,2.0801824626100762e-4,3.0954197760956e-11,TRUE
gear,0.19761012184123986,0.06424907624647677,0.004451415155561869,TRUE
nope,-0.025627234140739117,0.020362905368387706,0.218239777328429,TRUE
nota,-0.04306777024415308,0.06864788536661148,0.5353242246317365,TRUE
qsec,0.06927786556986318,0.027670028175638996,0.017959813809924,TRUE
vs,0.39429886836085076,0.08032730455584666,3.0149010214238576e-5,TRUE
weig,0.05537736758198277,0.06434178956451136,0.3964772633524062,TRUE
wt,-0.27178465616804365,0.024999609966651785,6.309569668085752e-12,TRUE
